ID,Company,TypeName,Inches,Ram,Weight,Price_euros,Screen,Touchscreen,CPU_freq,PrimaryStorage,PrimaryStorageType
0,Apple,Ultrabook,13.3,8,1.37,1339.69,Standard,No,2.3,128,SSD
1,Apple,Ultrabook,13.3,8,1.34,898.94,Standard,No,1.8,128,Flash Storage
2,HP,Notebook,15.6,8,1.86,575,Full HD,No,2.5,256,SSD
3,Apple,Ultrabook,15.4,16,1.83,2537.45,Standard,No,2.7,512,SSD
4,Apple,Ultrabook,13.3,8,1.37,1803.6,Standard,No,3.1,256,SSD
5,Acer,Notebook,15.6,4,2.1,400,Standard,No,3,500,HDD
6,Apple,Ultrabook,15.4,16,2.04,2139.97,Standard,No,2.2,256,Flash Storage
7,Apple,Ultrabook,13.3,8,1.34,1158.7,Standard,No,1.8,256,Flash Storage
8,Asus,Ultrabook,14,16,1.3,1495,Full HD,No,1.8,512,SSD
9,Acer,Ultrabook,14,8,1.6,770,Full HD,No,1.6,256,SSD
10,HP,Notebook,15.6,4,1.86,393.9,Standard,No,2.5,500,HDD
11,HP,Notebook,15.6,4,1.86,344.99,Full HD,No,2,500,HDD
12,Apple,Ultrabook,15.4,16,1.83,2439.97,Standard,No,2.8,256,SSD
13,Dell,Notebook,15.6,4,2.2,498.9,Full HD,No,2,256,SSD
14,Apple,Ultrabook,12,8,0.92,1262.4,Standard,No,1.2,256,SSD
15,Apple,Ultrabook,13.3,8,1.37,1518.55,Standard,No,2.3,256,SSD
16,Dell,Notebook,15.6,8,2.2,745,Full HD,No,2.7,256,SSD
17,Apple,Ultrabook,15.4,16,1.83,2858,Standard,No,2.9,512,SSD
18,Lenovo,Notebook,15.6,8,2.2,499,Full HD,No,2.4,1024,HDD
19,Dell,Ultrabook,13.3,8,1.22,979,Full HD,Yes,1.6,128,SSD
20,Asus,Netbook,11.6,2,0.98,191.9,Standard,No,1.44,32,Flash Storage
21,Lenovo,Gaming,15.6,8,2.5,999,Full HD,No,2.5,128,SSD
22,HP,Notebook,15.6,4,1.86,258,Standard,No,1.5,500,HDD
23,Dell,2 in 1 Convertible,13.3,8,1.62,819,Full HD,Yes,1.6,256,SSD
24,HP,Ultrabook,15.6,8,1.91,659,Full HD,No,1.8,256,SSD
25,Dell,Notebook,15.6,4,2.3,418.64,Standard,No,2,1024,HDD
26,Apple,Ultrabook,13.3,8,1.35,1099,Standard,No,1.6,128,Flash Storage
27,Dell,Notebook,15.6,8,2.2,800,Full HD,No,1.6,256,SSD
28,Dell,Ultrabook,15.6,8,1.88,1298,Full HD,No,1.9,256,SSD
29,HP,Notebook,17.3,8,2.5,896,Full HD,No,1.6,1024,HDD
30,Chuwi,Notebook,15.6,4,1.89,244.99,Full HD,No,1.44,64,Flash Storage
31,Asus,Notebook,14,2,1.65,199,Standard,No,1.5,32,Flash Storage
32,HP,Notebook,17.3,4,2.71,439,Full HD,No,2.5,500,HDD
33,Dell,Ultrabook,13.3,16,1.2,1869,Quad HD+,Yes,1.8,512,SSD
34,Apple,Ultrabook,13.3,8,1.35,998,Standard,No,1.6,256,Flash Storage
35,Lenovo,Notebook,14,4,1.44,249,Standard,No,1.1,64,Flash Storage
36,Acer,Notebook,15.6,4,2.1,367,Standard,No,2.7,1024,HDD
37,Dell,Notebook,17.3,8,2.8,979,Full HD,No,1.6,128,SSD
38,HP,Notebook,15.6,4,1.86,488.69,Standard,No,2.5,1024,HDD
39,HP,Notebook,15.6,8,2.1,879,Full HD,No,1.6,256,SSD
40,Asus,Notebook,15.6,4,2,389,Full HD,No,2,1024,HDD
41,Dell,Gaming,15.6,16,2.65,1499,Full HD,No,2.8,256,SSD
42,Asus,Notebook,15.6,8,2.3,522.99,Standard,No,2.5,1024,HDD
43,Acer,Notebook,15.6,4,2.2,682,Full HD,No,1.6,256,SSD
44,Dell,2 in 1 Convertible,17.3,12,2.77,999,Full HD,Yes,1.6,1024,HDD
45,Apple,Ultrabook,13.3,8,1.37,1419,Standard,No,2,256,SSD
46,Lenovo,Notebook,15.6,4,2.2,369,Standard,No,2,128,SSD
47,Asus,Gaming,17.3,8,3.2,1299,Full HD,No,3,256,SSD
48,Dell,Notebook,15.6,4,2.3,639,Full HD,No,2.5,256,SSD
49,Asus,Notebook,17.3,4,2.8,466,Standard,No,1.1,1024,HDD
50,Lenovo,2 in 1 Convertible,10.1,4,0.69,319,Standard,Yes,1.44,64,Flash Storage
51,Acer,Notebook,15.6,8,2.2,841,Full HD,No,1.8,256,SSD
52,HP,Notebook,15.6,4,1.86,398.49,Full HD,No,2.5,256,SSD
53,HP,Notebook,13.3,8,1.49,1103,Full HD,No,1.8,512,SSD
54,Acer,Notebook,15.6,4,2.4,384,Standard,No,2.4,1024,HDD
55,Dell,Notebook,15.6,8,2.13,767.8,Full HD,No,1.8,256,SSD
56,HP,Notebook,15.6,4,1.91,439,Full HD,No,2,128,SSD
57,Asus,Notebook,15.6,4,2,586.19,Standard,No,2.5,256,SSD
58,MSI,Gaming,17.3,16,2.43,2449,Full HD,No,2.8,256,SSD
59,Asus,Notebook,15.6,4,2,415,Full HD,No,2,256,SSD
60,Dell,Notebook,17.3,16,2.8,1299,Full HD,No,1.8,256,SSD
61,Dell,Ultrabook,14,8,1.7,879,Full HD,No,1.6,256,SSD
62,Lenovo,Notebook,14,8,1.7,599,Full HD,No,2.7,256,SSD
63,Asus,Notebook,14,8,1.4,941,Full HD,No,1.6,256,SSD
64,HP,Notebook,15.6,8,1.86,690,Full HD,No,2.5,256,SSD
65,Asus,Ultrabook,15.6,16,1.8,1983,Full HD,No,2.8,512,SSD
66,HP,Notebook,15.6,4,1.86,438.69,Standard,No,2,500,HDD
67,HP,Notebook,14,4,1.44,229,Standard,No,1.6,32,SSD
68,Lenovo,Notebook,15.6,4,1.9,549,Full HD,No,2.5,1024,HDD
69,Asus,Gaming,17.3,12,3,949,Full HD,No,2.8,1024,HDD
70,Microsoft,Ultrabook,13.5,4,1.252,1089,Standard,Yes,2.5,128,SSD
71,Dell,Ultrabook,13.3,8,1.4,955,Full HD,No,1.8,256,SSD
72,Dell,Notebook,15.6,8,2.2,870,Full HD,No,1.8,256,SSD
73,MSI,Gaming,17.3,8,2.7,1095,Full HD,No,2.5,128,SSD
74,Acer,Notebook,14,8,2.1,389,Standard,No,2,1024,HDD
75,Asus,Gaming,15.6,8,2.2,949,Full HD,No,2.8,1024,HDD
76,Lenovo,Notebook,15.6,8,2.2,519,Full HD,No,2.5,2048,HDD
77,Dell,Notebook,15.6,8,2.02,855,Full HD,No,1.8,128,SSD
78,Acer,Notebook,15.6,4,2.2,530,Full HD,No,2.7,1024,HDD
